date,progressive,conservative
19-Dec-03,13031,13797
19-Dec-04,12775,13532
19-Dec-05,13041,13194
19-Dec-06,11888,11150
19-Dec-07,6267,6980
19-Dec-08,6857,7126
19-Dec-09,12299,12717
19-Dec-10,13192,13633
19-Dec-11,13154,13321
19-Dec-12,13260,13586
19-Dec-13,11630,12171
19-Dec-14,6629,7043
19-Dec-15,6724,7829
19-Dec-16,11486,12235
19-Dec-17,12291,13121
19-Dec-18,12897,13560
19-Dec-19,12463,13213
19-Dec-20,11437,11274
19-Dec-21,6484,6974
19-Dec-22,6092,7052
19-Dec-23,10048,10521
19-Dec-24,7783,8334
19-Dec-25,4998,5719
19-Dec-26,8970,10435
19-Dec-27,9011,8882
19-Dec-28,5671,6542
19-Dec-29,6147,7138
19-Dec-30,9945,10883
19-Dec-31,9492,10911
