date,Center-count,Conservative-count,Progressive-count,Center-total_count,Conservative-total_count,Progressive-total_count,Center-ratio,Conservative-ratio,Progressive-ratio
"2019-07-09","10928","15282","14622","10928","15282","14622","1.0","1.0","1.0"
"2019-07-10","10049","13058","13326","10049","13058","13326","1.0","1.0","1.0"
"2019-07-11","10609","14247","14208","10609","14247","14208","1.0","1.0","1.0"
"2019-07-12","10745","14010","13531","10745","14010","13531","1.0","1.0","1.0"
"2019-07-13","6235","7211","6944","6235","7211","6944","1.0","1.0","1.0"
"2019-07-14","6206","6859","6742","6206","6859","6742","1.0","1.0","1.0"
"2019-07-15","10178","12581","13069","10178","12581","13069","1.0","1.0","1.0"
"2019-07-16","10361","13188","13126","10361","13188","13126","1.0","1.0","1.0"
"2019-07-17","12189","14785","14053","12189","14785","14053","1.0","1.0","1.0"
"2019-07-18","9861","12163","12467","9861","12163","12467","1.0","1.0","1.0"
"2019-07-19","9265","10656","11522","9265","10656","11522","1.0","1.0","1.0"
"2019-07-20","6464","6569","6722","6464","6569","6722","1.0","1.0","1.0"
"2019-07-21","6380","6650","6430","6380","6650","6430","1.0","1.0","1.0"
"2019-07-22","9055","11159","11438","9055","11159","11438","1.0","1.0","1.0"
"2019-07-23","10034","12189","12036","10034","12189","12036","1.0","1.0","1.0"
"2019-07-24","10403","12186","12546","10403","12186","12546","1.0","1.0","1.0"
"2019-07-25","10137","11966","12351","10137","11966","12351","1.0","1.0","1.0"
"2019-07-26","9641","10652","11362","9641","10652","11362","1.0","1.0","1.0"
"2019-07-27","6136","6578","6507","6136","6578","6507","1.0","1.0","1.0"
"2019-07-28","6619","6514","6302","6619","6514","6302","1.0","1.0","1.0"
"2019-07-29","9648","11604","11169","9648","11604","11169","1.0","1.0","1.0"
"2019-07-30","10498","12498","12339","10498","12498","12339","1.0","1.0","1.0"
"2019-07-31","10325","13223","12569","10325","13223","12569","1.0","1.0","1.0"
"2019-08-01","10707","13400","13182","10707","13400","13182","1.0","1.0","1.0"
"2019-08-02","8710","10735","10965","8710","10735","10965","1.0","1.0","1.0"
"2019-08-03","8134","9498","8047","8134","9498","8047","1.0","1.0","1.0"
"2019-08-04","7511","10006","8279","7511","10006","8279","1.0","1.0","1.0"
"2019-08-05","9072","11383","11264","9072","11383","11264","1.0","1.0","1.0"
"2019-08-06","9494","12412","11948","9494","12412","11948","1.0","1.0","1.0"
"2019-08-07","9860","12567","12264","9860","12567","12264","1.0","1.0","1.0"
"2019-08-08","9615","12589","12075","9615","12589","12075","1.0","1.0","1.0"
"2019-08-09","8697","10544","11143","8697","10544","11143","1.0","1.0","1.0"
"2019-08-10","6296","6914","6560","6296","6914","6560","1.0","1.0","1.0"
"2019-08-11","6114","6758","6080","6114","6758","6080","1.0","1.0","1.0"
"2019-08-12","9368","11712","11479","9368","11712","11479","1.0","1.0","1.0"
"2019-08-13","9028","11882","11218","9028","11882","11218","1.0","1.0","1.0"
"2019-08-14","8600","11635","10766","8600","11635","10766","1.0","1.0","1.0"
"2019-08-15","8295","11529","12158","8295","11529","12158","1.0","1.0","1.0"
"2019-08-16","8648","10876","11450","8648","10876","11450","1.0","1.0","1.0"
"2019-08-17","5350","6394","6141","5350","6394","6141","1.0","1.0","1.0"
"2019-08-18","6273","6611","6231","6273","6611","6231","1.0","1.0","1.0"
"2019-08-19","9357","11367","11003","9357","11367","11003","1.0","1.0","1.0"
"2019-08-20","9497","12112","11740","9497","12112","11740","1.0","1.0","1.0"
"2019-08-21","9469","12400","12064","9469","12400","12064","1.0","1.0","1.0"
"2019-08-22","9606","11930","11973","9606","11930","11973","1.0","1.0","1.0"
"2019-08-23","8913","10714","11741","8913","10714","11741","1.0","1.0","1.0"
"2019-08-24","6124","6741","6699","6124","6741","6699","1.0","1.0","1.0"
"2019-08-25","6065","6818","6529","6065","6818","6529","1.0","1.0","1.0"
"2019-08-26","8893","10797","11252","8893","10797","11252","1.0","1.0","1.0"
"2019-08-27","9614","12103","11776","9614","12103","11776","1.0","1.0","1.0"
"2019-08-28","3201","3529","3963","3201","3529","3963","1.0","1.0","1.0"
"2019-08-29","5649","7557","7303","5649","7557","7303","1.0","1.0","1.0"
"2019-08-30","9258","11047","11526","9258","11047","11526","1.0","1.0","1.0"
"2019-08-31","6731","7185","6986","6731","7185","6986","1.0","1.0","1.0"
"2019-09-01","6303","6892","6589","6303","6892","6589","1.0","1.0","1.0"
"2019-09-02","7138","8680","8303","7138","8680","8303","1.0","1.0","1.0"
"2019-09-03","9875","12165","12187","9875","12165","12187","1.0","1.0","1.0"
"2019-09-04","9403","12432","12773","9403","12432","12773","1.0","1.0","1.0"
"2019-09-05","9216","12320","12641","9216","12320","12641","1.0","1.0","1.0"
"2019-09-06","9112","11675","12479","9112","11675","12479","1.0","1.0","1.0"
"2019-09-07","6884","7634","6936","6884","7634","6936","1.0","1.0","1.0"
"2019-09-08","6889","7003","6553","6889","7003","6553","1.0","1.0","1.0"
"2019-09-09","9991","11678","12183","9991","11678","12183","1.0","1.0","1.0"
"2019-09-10","10628","12764","13206","10628","12764","13206","1.0","1.0","1.0"
"2019-09-11","10431","12692","13020","10431","12692","13020","1.0","1.0","1.0"
"2019-09-12","10962","13131","13384","10962","13131","13384","1.0","1.0","1.0"
"2019-09-13","10614","11696","12729","10614","11696","12729","1.0","1.0","1.0"
"2019-09-14","7587","9083","7541","7587","9083","7541","1.0","1.0","1.0"
"2019-09-15","8124","8544","7790","8124","8544","7790","1.0","1.0","1.0"
"2019-09-16","10261","12354","11719","10261","12354","11719","1.0","1.0","1.0"
"2019-09-17","10676","12766","12812","10676","12766","12812","1.0","1.0","1.0"
"2019-09-18","10579","12716","13132","10579","12716","13132","1.0","1.0","1.0"
"2019-09-19","10683","12997","13253","10683","12997","13253","1.0","1.0","1.0"
"2019-09-20","10087","11580","12594","10087","11580","12594","1.0","1.0","1.0"
"2019-09-21","6731","7449","6885","6731","7449","6885","1.0","1.0","1.0"
"2019-09-22","7318","7797","7420","7318","7797","7420","1.0","1.0","1.0"
"2019-09-23","10411","12402","12539","10411","12402","12539","1.0","1.0","1.0"
"2019-09-24","11201","13061","13841","11201","13061","13841","1.0","1.0","1.0"
"2019-09-25","10786","13170","13706","10786","13170","13706","1.0","1.0","1.0"
"2019-09-26","10565","13032","13496","10565","13032","13496","1.0","1.0","1.0"
"2019-09-27","10185","11635","12315","10185","11635","12315","1.0","1.0","1.0"
"2019-09-28","6544","7596","6840","6544","7596","6840","1.0","1.0","1.0"
"2019-09-29","6896","7730","6885","6896","7730","6885","1.0","1.0","1.0"
"2019-09-30","10110","12747","12741","10110","12747","12741","1.0","1.0","1.0"
"2019-10-01","10138","12852","12552","10138","12852","12552","1.0","1.0","1.0"
"2019-10-02","10349","13252","13105","10349","13252","13105","1.0","1.0","1.0"
"2019-10-03","10329","13151","13191","10329","13151","13191","1.0","1.0","1.0"
"2019-10-04","9812","12122","12700","9812","12122","12700","1.0","1.0","1.0"
"2019-10-05","6471","8196","7412","6471","8196","7412","1.0","1.0","1.0"
"2019-10-06","6231","7849","6834","6231","7849","6834","1.0","1.0","1.0"
"2019-10-07","9531","14185","12313","9531","14185","12313","1.0","1.0","1.0"
"2019-10-08","8820","13270","11812","8820","13270","11812","1.0","1.0","1.0"
"2019-10-09","9513","14143","12444","9513","14143","12444","1.0","1.0","1.0"
"2019-10-10","8962","12111","12176","8962","12111","12176","1.0","1.0","1.0"
"2019-10-11","9533","12305","12422","9533","12305","12422","1.0","1.0","1.0"
"2019-10-12","5997","7231","6325","5997","7231","6325","1.0","1.0","1.0"
"2019-10-13","6452","7535","6471","6452","7535","6471","1.0","1.0","1.0"
"2019-10-14","8898","11397","10697","8898","11397","10697","1.0","1.0","1.0"
"2019-10-15","11062","14193","13791","11062","14193","13791","1.0","1.0","1.0"
"2019-10-16","10054","13582","13363","10054","13582","13363","1.0","1.0","1.0"
"2019-10-17","10542","13505","13671","10542","13505","13671","1.0","1.0","1.0"
"2019-10-18","9934","12070","12514","9934","12070","12514","1.0","1.0","1.0"
"2019-10-19","6165","7621","6561","6165","7621","6561","1.0","1.0","1.0"
"2019-10-20","5954","7250","6480","5954","7250","6480","1.0","1.0","1.0"
"2019-10-21","9703","12442","12444","9703","12442","12444","1.0","1.0","1.0"
"2019-10-22","10684","13764","12928","10684","13764","12928","1.0","1.0","1.0"
"2019-10-23","10360","13319","13468","10360","13319","13468","1.0","1.0","1.0"
"2019-10-24","10003","13412","13368","10003","13412","13368","1.0","1.0","1.0"
"2019-10-25","8919","11155","11873","8919","11155","11873","1.0","1.0","1.0"
"2019-10-26","5546","6601","6421","5546","6601","6421","1.0","1.0","1.0"
"2019-10-27","4875","6626","6113","4875","6626","6113","1.0","1.0","1.0"
"2019-10-28","6971","9440","9641","6971","9440","9641","1.0","1.0","1.0"
"2019-10-29","8206","11084","11424","8206","11084","11424","1.0","1.0","1.0"
"2019-10-30","10438","13643","13200","10438","13643","13200","1.0","1.0","1.0"
"2019-10-31","10139","13394","13129","10139","13394","13129","1.0","1.0","1.0"
"2019-11-01","9570","12100","12593","9570","12100","12593","1.0","1.0","1.0"
"2019-11-02","6186","7457","6655","6186","7457","6655","1.0","1.0","1.0"
"2019-11-03","2235","3854","3581","2235","3854","3581","1.0","1.0","1.0"
"2019-11-04","9432","12152","12576","9432","12152","12576","1.0","1.0","1.0"
"2019-11-05","10025","14273","13500","10025","14273","13500","1.0","1.0","1.0"
