date,All-count,Conservative-count,Progressive-count,All-total_count,Conservative-total_count,Progressive-total_count,All-ratio,Conservative-ratio,Progressive-ratio
"2019-04-12","15","12","3","35108","12516","12623","0.0004272530477384072","0.0009587727708533077","0.00023766141170878554"
"2019-04-13","13","13","0","21183","7497","7049","0.0006136996648255676","0.0017340269441109778","0"
"2019-04-14","14","10","4","21094","7787","6780","0.0006636958376789609","0.0012841916013869269","0.0005899705014749262"
"2019-04-15","27","17","8","39146","15355","13904","0.0006897256424666633","0.0011071312276131552","0.0005753739930955121"
"2019-04-16","32","25","4","38709","15480","13634","0.0008266811335865044","0.001614987080103359","0.00029338418659234265"
"2019-04-17","31","24","6","37277","13507","13685","0.0008316119859430748","0.0017768564448063966","0.00043843624406284253"
"2019-04-18","16","12","1","37054","13537","13704","0.0004318022345765639","0.0008864593336780675","7.297139521307647e-05"
"2019-04-19","10","10","0","32091","10688","11087","0.00031161384811941045","0.0009356287425149701","0"
"2019-04-20","12","12","0","23285","7228","7043","0.0005153532316942238","0.0016602102933038186","0"
"2019-04-21","3","3","0","20204","7738","6685","0.00014848544842605425","0.0003876970793486689","0"
"2019-04-22","19","12","5","31175","11139","11458","0.0006094627105052125","0.0010772959870724481","0.0004363763309478094"
"2019-04-23","29","20","6","36501","13155","13361","0.000794498780855319","0.0015203344735841885","0.00044906818351919767"
"2019-04-24","16","15","1","37300","13587","13574","0.0004289544235924933","0.001103996467211305","7.367025195226167e-05"
"2019-04-25","21","18","2","38448","14056","13910","0.0005461922596754058","0.0012805919180421173","0.00014378145219266715"
"2019-04-26","27","23","4","34281","12038","12677","0.0007876082961407193","0.001910616381458714","0.0003155320659462018"
"2019-04-27","14","10","2","22202","8154","7270","0.0006305738221781821","0.0012263919548687761","0.0002751031636863824"
"2019-04-28","12","12","0","21702","7744","7418","0.000552944429084877","0.0015495867768595042","0"
"2019-04-29","17","16","1","35819","12856","13042","0.00047460844803037496","0.0012445550715619166","7.667535654040791e-05"
