date,All-count,Conservative-count,Progressive-count,All-total_count,Conservative-total_count,Progressive-total_count,All-ratio,Conservative-ratio,Progressive-ratio
"2019-06-24","35","26","7","36487","12835","13175","0.0009592457587633952","0.0020257109466303076","0.0005313092979127135"
"2019-06-25","35","16","16","35748","13550","13028","0.0009790757524896498","0.0011808118081180813","0.0012281240405280934"
"2019-06-26","66","23","32","37215","13123","13616","0.00177347843611447","0.001752648022555818","0.0023501762632197414"
"2019-06-27","73","36","32","37057","13269","14028","0.0019699382033084166","0.0027130906624463036","0.0022811519817507843"
"2019-06-28","70","35","23","34685","12030","12868","0.0020181634712411706","0.0029093931837073984","0.0017873795461610196"
"2019-06-29","22","11","8","21473","7878","7049","0.0010245424486564523","0.0013962934755013963","0.0011349127535820683"
"2019-06-30","15","10","4","21948","7942","7259","0.000683433570256971","0.0012591286829513977","0.0005510400881664141"
"2019-07-01","29","16","10","34849","12780","12091","0.0008321616115240035","0.0012519561815336462","0.0008270614506657845"
"2019-07-02","42","26","12","35332","12692","12467","0.001188724102796332","0.0020485345099275133","0.00096254110852651"
"2019-07-03","41","20","9","34202","11978","12689","0.0011987603064148296","0.0016697278343629988","0.0007092757506501694"
"2019-07-04","34","14","13","25253","9028","8926","0.0013463746881558626","0.0015507310589277803","0.0014564194488012547"
"2019-07-05","11","2","6","27796","10050","9869","0.00039574039430133833","0.0001990049751243781","0.0006079643327591448"
"2019-07-06","36","29","4","21582","7714","7210","0.0016680567139282735","0.0037593984962406013","0.0005547850208044383"
"2019-07-07","32","18","5","21436","7964","7197","0.0014928158238477329","0.0022601707684580612","0.0006947339169098236"
"2019-07-08","47","32","7","35813","13064","12393","0.001312372602127719","0.002449479485609308","0.0005648349874929396"
"2019-07-09","64","50","6","40832","15282","14622","0.001567398119122257","0.0032718230598089257","0.0004103405826836274"
"2019-07-10","42","26","9","36433","13058","13326","0.0011528010320314","0.0019911165568999847","0.0006753714542998649"
"2019-07-11","62","40","14","39064","14247","14208","0.0015871390538603318","0.0028076086193584613","0.0009853603603603603"
"2019-07-12","75","56","12","38286","14010","13531","0.001958940604920859","0.003997144896502498","0.000886852412977607"
"2019-07-13","48","33","9","20390","7211","6944","0.0023540951446787643","0.00457634170018028","0.0012960829493087558"
"2019-07-14","25","15","8","19807","6859","6742","0.001262180037360529","0.0021869077124945326","0.0011865915158706616"
"2019-07-15","60","39","13","35828","12581","13069","0.0016746678575415876","0.003099912566568635","0.0009947203305532175"
"2019-07-16","99","47","33","36675","13188","13126","0.0026993865030674846","0.003563845920533819","0.002514094164254152"
"2019-07-17","121","71","38","41027","14785","14053","0.0029492773051892655","0.0048021643557659794","0.002704048957517968"
"2019-07-18","70","46","15","34491","12163","12467","0.0020295149459279233","0.0037819616870837787","0.0012031763856581374"
"2019-07-19","37","20","15","31443","10656","11522","0.001176732500079509","0.0018768768768768769","0.0013018573164381183"
"2019-07-20","16","9","4","19755","6569","6722","0.0008099215388509239","0.0013700715481808495","0.0005950609937518596"
"2019-07-21","9","5","1","19460","6650","6430","0.00046248715313463516","0.0007518796992481203","0.00015552099533437013"
"2019-07-22","34","21","9","31652","11159","11438","0.0010741817262732213","0.0018818890581593333","0.0007868508480503584"
"2019-07-23","22","16","4","34259","12189","12036","0.0006421670218044893","0.0013126589547953072","0.00033233632436025255"
"2019-07-24","25","19","5","35135","12186","12546","0.0007115411982353779","0.001559166256359757","0.00039853339709867687"
"2019-07-25","24","16","4","34454","11966","12351","0.0006965809485110582","0.0013371218452281465","0.00032386041616063474"
"2019-07-26","15","8","4","31655","10652","11362","0.000473858790080556","0.0007510326699211416","0.0003520506953001232"
"2019-07-27","12","7","3","19221","6578","6507","0.0006243171531137818","0.0010641532380662815","0.0004610419548178884"
"2019-07-28","15","9","5","19435","6514","6302","0.0007718034473887317","0.001381639545594105","0.0007933989209774674"
"2019-07-29","25","16","8","32421","11604","11169","0.0007711051478979673","0.0013788348845225785","0.0007162682424568"
"2019-07-30","65","47","15","35335","12498","12339","0.0018395358709494835","0.0037606016962714035","0.0012156576707999028"
"2019-07-31","93","59","25","36117","13223","12569","0.0025749646980646234","0.004461922407925584","0.0019890206062534808"
"2019-08-01","49","37","11","37289","13400","13182","0.001314060446780552","0.0027611940298507462","0.0008344712486724321"
"2019-08-02","38","27","10","30410","10735","10965","0.0012495889510029596","0.0025151374010246854","0.0009119927040583675"
"2019-08-03","73","38","8","25679","9498","8047","0.0028427898282643404","0.004000842282585807","0.0009941593140300733"
"2019-08-04","64","46","11","25796","10006","8279","0.0024810048069468134","0.004597241655006996","0.0013286628819905786"
"2019-08-05","32","14","15","31719","11383","11264","0.0010088590434755194","0.001229904243169639","0.0013316761363636363"
"2019-08-06","41","33","6","33854","12412","11948","0.0012110828853311277","0.002658717370286819","0.0005021760964178105"
"2019-08-07","27","16","8","34691","12567","12264","0.0007782998472226226","0.0012731757778308267","0.0006523157208088715"
"2019-08-08","25","17","5","34279","12589","12075","0.000729309489775081","0.001350385256970371","0.00041407867494824016"
"2019-08-09","24","16","6","30384","10544","11143","0.0007898894154818325","0.0015174506828528073","0.0005384546351969847"
"2019-08-10","6","5","1","19770","6914","6560","0.00030349013657056146","0.0007231703789412786","0.0001524390243902439"
"2019-08-11","14","8","5","18952","6758","6080","0.0007387083157450401","0.0011837821840781297","0.0008223684210526315"
"2019-08-12","30","15","7","32559","11712","11479","0.0009214042200313277","0.0012807377049180327","0.0006098092168307344"
"2019-08-13","26","14","10","32128","11882","11218","0.0008092629482071714","0.001178252819390675","0.0008914244963451596"
"2019-08-14","22","13","8","31001","11635","10766","0.0007096545272733138","0.0011173184357541898","0.000743080066877206"
"2019-08-15","33","18","11","31982","11529","12158","0.001031830404602589","0.00156128024980484","0.0009047540713933213"
"2019-08-16","32","16","12","30974","10876","11450","0.0010331245560792923","0.001471129091577786","0.0010480349344978166"
"2019-08-17","15","11","4","17885","6394","6141","0.0008386916410399776","0.0017203628401626526","0.0006513597134017262"
"2019-08-18","13","9","4","19115","6611","6231","0.0006800941668846455","0.0013613674179397974","0.0006419515326592842"
"2019-08-19","34","27","6","31727","11367","11003","0.0010716424496485643","0.0023752969121140144","0.0005453058256839044"
"2019-08-20","14","9","3","33349","12112","11740","0.00041980269273441485","0.0007430647291941875","0.0002555366269165247"
"2019-08-21","16","13","3","33933","12400","12064","0.0004715174019391153","0.0010483870967741935","0.0002486737400530504"
"2019-08-22","41","23","11","33509","11930","11973","0.001223551881584052","0.0019279128248114","0.0009187338177566191"
"2019-08-23","36","23","10","31368","10714","11741","0.0011476664116296864","0.0021467239126376704","0.0008517162081594413"
"2019-08-24","6","5","1","19564","6741","6699","0.0003066857493355142","0.0007417297136923305","0.00014927601134497685"
"2019-08-25","41","19","14","19412","6818","6529","0.002112095610962291","0.0027867409797594604","0.0021442793689692144"
"2019-08-26","26","13","11","30942","10797","11252","0.0008402818175942085","0.0012040381587478002","0.0009776039815143974"
"2019-08-27","31","19","6","33493","12103","11776","0.0009255665362911653","0.0015698587127158557","0.0005095108695652174"
