date,progressive,conservative
2019-12-01,3618,4463
2019-12-02,12824,12821
2019-12-03,13031,13797
2019-12-04,12775,13532
2019-12-05,13041,13194
2019-12-06,11888,11150
2019-12-07,6267,6980
2019-12-08,6857,7126
2019-12-09,12299,12717
2019-12-10,13192,13633
2019-12-11,13154,13321
2019-12-12,13260,13586
2019-12-13,11630,12171
2019-12-14,6629,7043
2019-12-15,6724,7829
2019-12-16,11486,12235
2019-12-17,12291,13121
2019-12-18,12897,13560
2019-12-19,12463,13213
2019-12-20,11437,11274
2019-12-21,6484,6974
2019-12-22,6092,7052
2019-12-23,10048,10521
2019-12-24,7783,8334
2019-12-25,4998,5719
2019-12-26,8970,10435
2019-12-27,9011,8882
2019-12-28,5671,6542
2019-12-29,6147,7138
2019-12-30,9945,10883
2019-12-31,9492,10911
